Player,From,To,Pos,Ht,Wt,Colleges
Don Anielak,1955,1955,F,6-7,190,Missouri State
Ike Anigbogu,2018,2019,F-C,6-10,250,UCLA
Michael Ansley,1990,1992,F,6-7,225,Alabama
Kostas Antetokounmpo,2019,2021,F,6-10,200,Dayton
Carmelo Anthony,2004,2022,F,6-7,238,Syracuse
Cole Anthony,2021,2022,G,6-2,185,UNC
Greg Anthony,1992,2002,G,6-0,176,"University of Portland, UNLV"
Joel Anthony,2008,2017,C,6-9,245,UNLV
OG Anunoby,2018,2022,F,6-7,232,Indiana
Keith Appling,2016,2016,G,6-1,185,Michigan State
Rafael Araújo,2005,2007,C,6-11,280,BYU
Stacey Arceneaux,1962,1962,F,6-4,210,Iowa State
Robert Archibald,2003,2004,F,6-11,250,Illinois
Tiny Archibald*,1971,1984,G,6-1,150,Texas-El Paso
Ryan Arcidiacono,2018,2021,G,6-3,195,Villanova
Jim Ard,1971,1978,F-C,6-8,215,Cincinnati
Gilbert Arenas,2002,2012,G,6-4,191,Arizona
Trevor Ariza,2005,2022,F,6-8,215,UCLA
Paul Arizin*,1951,1962,F-G,6-4,190,Villanova
Joe Arlauckas,1988,1988,F,6-9,230,Niagara University
B.J. Armstrong,1990,2000,G,6-2,175,Iowa
Bob Armstrong,1957,1957,C-F,6-8,220,Michigan State
Brandon Armstrong,2002,2004,G,6-5,188,Pepperdine
Curly Armstrong,1949,1951,G-F,5-11,170,Indiana
Darrell Armstrong,1995,2008,G,6-0,170,Fayetteville State University
Hilton Armstrong,2007,2014,F-C,6-11,235,UConn
Tate Armstrong,1978,1979,G,6-3,175,Duke
Jesse Arnelle,1956,1956,F,6-5,220,Penn State
Jay Arnette,1964,1966,G,6-2,175,Texas
Bob Arnzen,1970,1974,F,6-5,205,Notre Dame
Carlos Arroyo,2002,2011,G,6-2,202,Florida International University
Darrell Arthur,2009,2018,F,6-9,235,Kansas
John Arthurs,1970,1970,G,6-4,185,Tulane
Jamel Artis,2018,2018,G-F,6-7,213,Pitt
Vincent Askew,1988,1998,G-F,6-6,210,Memphis
Keith Askins,1991,1999,G-F,6-7,197,Alabama
Don Asmonga,1954,1954,G,6-2,185,Alliance College
Dick Atha,1956,1958,G,6-2,190,Indiana State University
Chucky Atkins,2000,2010,G,5-11,160,South Florida
Al Attles*,1961,1971,G,6-0,175,North Carolina A&T
Chet Aubuchon,1947,1947,G,5-10,137,Michigan State
Stacey Augmon,1992,2006,F-G,6-8,205,UNLV
D.J. Augustin,2009,2022,G,5-11,183,Texas
James Augustine,2007,2008,F,6-10,235,Illinois
Isaac Austin,1992,2002,C,6-10,255,Arizona State
Johnny Austin,1967,1968,G,6-0,170,Boston College
Ken Austin,1984,1984,F,6-9,205,Rice University
Anthony Avent,1993,2000,F,6-9,235,Seton Hall
Bird Averitt,1974,1978,G,6-1,170,Pepperdine
William Avery,2000,2002,G,6-2,197,Duke
Dennis Awtrey,1971,1982,C,6-10,235,Santa Clara
Joel Ayayi,2022,2022,G,6-5,180,Gonzaga
Jeff Ayres,2010,2016,F,6-9,240,Arizona State
Deandre Ayton,2019,2022,C,6-11,250,Arizona
Kelenna Azubuike,2007,2012,G,6-5,220,Kentucky
Udoka Azubuike,2021,2022,C,6-10,280,Kansas
